,Month,Climo Dataset A,Control Dataset A,RCP4.5 Dataset A,RCP8.5 Dataset A,Control Subset B,RCP4.5 Subset B,RCP8.5 Subset B,Control ET Complete Rate,RCP4.5 ET Complete Rate,RCP8.5 ET Complete Rate,P Values Climo A,P Values RCP4.5 A,P Values RCP8.5 A,P Values RCP4.5 B,P Values RCP8.5 B,P Values RCP4.5 Rate,P Values RCP8.5 Rate
0,Jan,3.5,28.9,19.4,22.6,8.9,6.5,8.6,0.308,0.333,0.381,0.0,0.172,0.38,0.541,0.943,0.843,0.585
1,Feb,0.6,15.6,24.7,21.5,7.8,7.5,9.7,0.5,0.304,0.45,0.0,0.152,0.333,0.939,0.65,0.211,0.769
2,Mar,0.6,27.8,19.4,28.0,7.8,5.4,12.9,0.28,0.278,0.462,0.0,0.221,0.979,0.509,0.262,0.987,0.164
3,Apr,1.7,23.3,24.7,16.1,10.0,6.5,8.6,0.429,0.261,0.533,0.0,0.84,0.251,0.389,0.745,0.226,0.516
4,May,18.6,26.7,16.1,28.0,14.4,5.4,14.0,0.542,0.333,0.5,0.229,0.105,0.86,0.043,0.94,0.195,0.771
5,Jun,65.7,37.8,16.1,23.7,20.0,11.8,16.1,0.529,0.733,0.682,0.006,0.003,0.072,0.146,0.516,0.164,0.244
6,Jul,84.3,37.8,11.8,6.5,20.0,3.2,3.2,0.529,0.273,0.5,0.0,0.0,0.0,0.0,0.0,0.121,0.862
7,Aug,255.2,140.0,73.1,60.2,66.7,36.6,29.0,0.476,0.5,0.482,0.0,0.0,0.0,0.003,0.0,0.737,0.945
8,Sep,412.2,193.3,103.2,84.9,78.9,36.6,32.3,0.408,0.354,0.38,0.0,0.0,0.0,0.0,0.0,0.368,0.664
9,Oct,250.6,106.7,93.5,59.1,45.6,45.2,39.8,0.427,0.483,0.673,0.0,0.351,0.0,0.967,0.53,0.427,0.002
10,Nov,70.9,54.4,55.9,65.6,22.2,26.9,31.2,0.408,0.481,0.475,0.14,0.886,0.307,0.502,0.218,0.44,0.459
11,Dec,14.0,28.9,36.6,21.5,11.1,12.9,7.5,0.385,0.353,0.35,0.023,0.341,0.297,0.713,0.404,0.792,0.798
12,Total,1177.9,721.1,494.6,437.6,313.3,204.3,212.9,0.435,0.413,0.486,0.0,0.0,0.0,0.0,0.0,0.458,0.085
