,Var,Percentile,Control,RCP4.5,RCP8.5
0,SLP(hPa) (All),25%,978.9,977.9,977.5
1,SLP(hPa) (All),Median,995.0,993.4,993.4
2,SLP(hPa) (All),75%,1002.4,1001.4,1001.6
3,SLP(hPa) (All),P Val,1.0,0.0,0.0
0,SLP(hPa) (Tropical),25%,977.8,977.3,976.9
1,SLP(hPa) (Tropical),Median,995.6,993.8,993.6
2,SLP(hPa) (Tropical),75%,1002.8,1001.6,1002.0
3,SLP(hPa) (Tropical),P Val,1.0,0.0,0.0
0,SLP(hPa) (Transitioning),25%,967.2,970.1,966.5
1,SLP(hPa) (Transitioning),Median,987.0,987.4,986.3
2,SLP(hPa) (Transitioning),75%,997.6,997.6,997.0
3,SLP(hPa) (Transitioning),P Val,1.0,0.511,0.147
0,SLP(hPa) (Extratropical),25%,990.0,986.0,987.2
1,SLP(hPa) (Extratropical),Median,997.4,996.5,995.8
2,SLP(hPa) (Extratropical),75%,1003.1,1002.6,1002.5
3,SLP(hPa) (Extratropical),P Val,1.0,0.0,0.0
0,Lon (All),25%,-72.8,-68.1,-70.2
1,Lon (All),Median,-57.9,-51.2,-54.6
2,Lon (All),75%,-40.4,-37.9,-38.8
3,Lon (All),P Val,1.0,0.0,0.0
0,Lon (Tropical),25%,-74.4,-70.2,-73.1
1,Lon (Tropical),Median,-60.5,-53.9,-56.5
2,Lon (Tropical),75%,-42.6,-40.2,-40.5
3,Lon (Tropical),P Val,1.0,0.0,0.0
0,Lon (Transitioning),25%,-67.8,-65.5,-67.3
1,Lon (Transitioning),Median,-56.2,-49.1,-54.7
2,Lon (Transitioning),75%,-42.3,-37.2,-42.1
3,Lon (Transitioning),P Val,1.0,0.0,0.214
0,Lon (Extratropical),25%,-62.7,-55.5,-61.1
1,Lon (Extratropical),Median,-45.0,-41.0,-41.8
2,Lon (Extratropical),75%,-27.3,-26.6,-26.6
3,Lon (Extratropical),P Val,1.0,0.0,0.014
0,Lat (All),25%,22.7,25.3,25.0
1,Lat (All),Median,30.8,33.4,33.4
2,Lat (All),75%,38.5,39.9,39.6
3,Lat (All),P Val,1.0,0.0,0.0
0,Lat (Tropical),25%,19.9,22.1,21.9
1,Lat (Tropical),Median,27.2,30.4,30.1
2,Lat (Tropical),75%,34.0,36.2,35.8
3,Lat (Tropical),P Val,1.0,0.0,0.0
0,Lat (Transitioning),25%,33.6,34.7,35.8
1,Lat (Transitioning),Median,38.8,39.9,40.0
2,Lat (Transitioning),75%,43.4,43.6,43.4
3,Lat (Transitioning),P Val,1.0,0.014,0.0
0,Lat (Extratropical),25%,41.2,39.4,38.8
1,Lat (Extratropical),Median,46.2,45.4,44.9
2,Lat (Extratropical),75%,49.8,49.8,49.6
3,Lat (Extratropical),P Val,1.0,0.004,0.0
